54298,Aach b Trier
78267,Aach - Hegau
52062,Aachen
52064,Aachen
52066,Aachen
52068,Aachen
52070,Aachen
52072,Aachen
52074,Aachen
52076,Aachen
52078,Aachen
52080,Aachen
73431,Aalen - Württ
73432,Aalen - Württ
73433,Aalen - Württ
73434,Aalen - Württ
65326,Aarbergen
25560,Aasbüttel
29416,Abbau Ader
19322,Abbendorf a d Havel
38871,Abbenrode b Wernigerode
06543,Abberode
91183,Abenberg - Mittelfr
01623,Abend
93326,Abensberg - Hallertau
55767,Abentheuer
94036,Abraham - Kr Passau
91720,Absberg
74232,Abstatt
06628,Abtlöbnitz
99713,Abtsbessingen
06888,Abtsdorf b Lutherstadt Wittenberg
73453,Abtsgmünd
69518,Abtsteinach
97355,Abtswind
55568,Abtweiler
88147,Achberg b Lindau - Bodensee
83552,Achen b Evenhausen - Oberbay
77855,Achern - Baden
28832,Achim b Bremen
38312,Achim - Kr Wolfenbüttel
94250,Achslach
88480,Achstetten
56729,Acht
55767,Achtelsbach
56299,Achterspannerhof
24239,Achterwehr
25917,Achtrup
39343,Ackendorf b Haldensleben
16259,Ackermannshof
17213,Adamshoffnung
25842,Addebüll
73099,Adelberg - Württ
37139,Adelebsen
98646,Adelhausen b Hildburghausen
29352,Adelheidsdorf
73486,Adelmannsfelden
85111,Adelschlag
01561,Adelsdorf b Großenhain - Sachs
91325,Adelsdorf - Mittelfr
74740,Adelsheim
82276,Adelshofen - Kr Fürstenfeldbruck
91587,Adelshofen - Mittelfr
86477,Adelsried b Augsburg
86559,Adelzhausen
53518,Adenau
67742,Adenbach
38528,Adenbüttel
21365,Adendorf - Kr Lüneburg
31079,Adenstedt b Alfeld - Leine
06408,Aderstedt b Bernburg
38838,Aderstedt b Halberstadt
73479,Adlersteige
83364,Adligstadt
84166,Adlkofen b Landshut - Isar
84166,Adlkofen b Landshut - Isar
18211,Admannshagen-Bargeshagen
08626,Adorf - Vogtl
25572,Aebtissinwisch
31855,Aerzen
71563,Affalterbach - Württ
86444,Affing
27257,Affinghausen
54689,Affler
56355,Aftholderbach
21684,Agathenburg
25560,Agethorst
74858,Aglasterhausen
84168,Aham - Vils
48683,Ahaus
27367,Ahausen - Kr Rotenburg - Wümme
17375,Ahlbeck
29693,Ahlden (Aller)
24811,Ahlefeld b Rendsburg
59227,Ahlen - Westf
59229,Ahlen - Westf
21702,Ahlerstedt
04916,Ahlsdorf b Schönewalde
06313,Ahlsdorf b Lutherstadt Eisleben
98553,Ahlstädt
38489,Ahlum - Altmark
34292,Ahnatal
24996,Ahneby
29353,Ahnsbeck
31708,Ahnsen b Stadthagen
94345,Aholfing
94527,Aholming
74744,Ahorn - Baden
96482,Ahorn - Kr Coburg
95491,Ahorntal
83739,Ahrain b Wörnsmühl
53506,Ahrbrück
23623,Ahrensbök
22926,Ahrensburg
14974,Ahrensdorf b Ludwigsfelde
15864,Ahrensdorf b Beeskow
16356,Ahrensfelde b Berlin
18320,Ahrenshagen b Ribnitz-Damgarten
25853,Ahrenshöft
24787,Ahrenstedt - Gem Rickert
25885,Ahrenviöl
25885,Ahrenviölfeld
94529,Aicha vorm Wald
86551,Aichach a d Paar
83565,Aichat
83329,Aichberg b Waging a See
